id,value
данные,
данные.хранение,124.4880114197731
данные.загрузка,92.10193681716919
данные.извлечение,24.706207752227783
данные.механизм,24.343467473983765
данные.информация,253.4745773077011
данные.построение,129.3801250308752
данные.выборка,25.116589665412903
данные.преобразование,42.903581500053406
данные.метаданные,13.489067554473877
данные.обработка,305.9497332572937
данные.аналитический,184.46068215370178
данные.массив,65.75480532646179
данные.etl,332.7994966506958
данные.транзакционный,13.265906274318695
данные.хранилище,268.5374000072479
data,
data.использование,300.9606164097786
data.методолог,3.342198610305786
data.visual,19.68211078643799
data.query,44.51619815826416
data.rpa,2.914656639099121
data.данные,554.1582366377115
data.аналитик,257.15799671411514
data.quantori,2.7044296264648438
data.predictive,5.737338989973068
data.anchor,3.2520225644111633
data.etl,196.1513557434082
data.хранилище,162.83866131305695
data.devops,69.76293548941612
data.bi,87.65277907252312
data.управление,95.35566663742065
аналитик,
аналитик.аналитика,215.51752385497093
аналитик.метрика,105.7772923335433
аналитик.анализ,344.8655121177435
аналитик.инженер,143.8880426287651
аналитик.внедрить,23.889127373695374
аналитик.постановка,141.85217401385307
аналитик.данные,712.9787339121103
аналитик.руководитель,139.4885468184948
аналитик.разработка,414.6058707088232
аналитик.аналитический,147.78010839223862
аналитик.дизайнер,66.95233967900276
аналитик.настроить,14.298298358917236
аналитик.архитектор,54.89475071430206
аналитик.выстраивать,34.304867804050446
аналитик.главный,33.813315749168396
sql,
sql.oracle,318.8531696796417
sql.mysql,53.35628700256348
sql.vertica,54.13768482208252
sql.postgres,28.28819751739502
sql.vba,40.50315099954605
sql.olap,44.47094213962555
sql.r,128.87517148256302
sql.teradata,49.24506402015686
sql.pgsql,2.4332383275032043
sql.spss,14.873527944087982
sql.реляционный,90.7947313785553
sql.ооп,28.656873106956482
sql.mpp,9.030671954154968
sql.язык,136.7937110364437
sql.база,127.56861805915833
анализ,
анализ.метод,224.86421835422516
анализ.моделирование,191.68107736110687
анализ.выборка,25.350907802581787
анализ.статистический,129.75758814811707
анализ.формирование,337.3447165489197
анализ.аналитика,145.87465885281563
анализ.оценка,260.1771762371063
анализ.проведение,371.37381970882416
анализ.интерпретация,28.187804222106934
анализ.структурирование,12.2221040725708
анализ.формализация,32.94454127550125
анализ.прогнозирование,111.65363228321075
анализ.исследование,330.01988768577576
анализ.база,135.52156627178192
анализ.подсистема,3.496602475643158
python,
python.php,39.18043327331543
python.panda,124.8917828798294
python.jupyter,18.552474975585938
python.scala,79.97887527942657
python.c,172.44042706489563
python.cython,3.3483357429504395
python.numpy,81.82849991321564
python.планировщик,2.410688817501068
python.postgres,22.08236813545227
python.bigdata,52.29886496067047
python.tensorflow,30.258002281188965
python.hadoop,172.6883293390274
python.clickhouse,79.3546307682991
python.pyspark,17.43043738603592
python.математический,237.87869358062744
bi,
bi.qlik,69.358962059021
bi.powerbi,71.32078206539154
bi.tableau,276.8894129395485
bi.qlikview,29.88767695426941
bi.визуализация,234.8426774740219
bi.tableu,8.935360372066498
bi.pbi,3.916206121444702
bi.informatica,39.13744390010834
bi.дашбордовый,51.451130867004395
bi.дэшбордовый,11.774600148200989
bi.redash,8.545044004917145
bi.dax,17.749409675598145
bi.аналитический,147.52375614643097
bi.отчётность,284.56916069984436
bi.query,49.83836078643799
база,
база.бд,172.7720554471016
база.хранилище,312.7698976993561
база.субд,141.4964201450348
база.нормализация,15.678248405456543
база.postgresql,212.1734902858734
база.clickhouse,101.67179155349731
база.анализ,347.0857479572296
база.sql,341.6003674864769
база.структура,149.0389904975891
база.озеро,9.619744956493378
база.массив,56.055848300457
база.визуализация,195.78640320897102
база.реляционный,85.78681170940399
база.витрина,166.37674820423126
база.teradata,43.729289412498474
big,
big.mining,165.84573090076447
big.science,268.95849645137787
big.scientist,161.58926486968994
big.studio,104.01948672533035
big.driven,96.17532110214233
big.lake,50.138397336006165
big.m2m,36.179503440856934
big.mesh,2.678313136100769
big.source,64.15927219390869
big.warehouse,23.602257281541824
big.mart,2.9731802940368652
big.искусственный,22.130234241485596
big.vault,12.631511002779007
big.стратегический,41.58736443519592
big.bigdata,42.94198423624039
метрика,
метрика.показатель,228.63244915008545
метрика.алерот,3.7484219074249268
метрика.аналитик,372.9055652320385
метрика.google,124.63808476924896
метрика.gtm,47.696029394865036
метрика.firebase,27.850502729415894
метрика.сквозной,45.9347562789917
метрика.дзен,7.648464679718018
метрика.добывать,2.6444451212882996
метрика.составлять,47.10947048664093
метрика.дашбордовый,48.64013195037842
метрика.roistat,6.8337225914001465
метрика.анализировать,196.63742583990097
метрика.настраивать,37.41457560658455
метрика.аналитика,113.48372067511082
analyst,
analyst.engineer,189.75469529628754
analyst.playrix,8.437437117099762
analyst.division,2.4094444513320923
analyst.junior,42.62941935658455
analyst.intelligence,52.42981493473053
analyst.middle,77.88443475961685
analyst.consultant,15.345325648784637
analyst.scientist,165.1779641509056
analyst.developer,120.05283543467522
analyst.engaged,6.590888500213623
analyst.рамблер,9.199649602174759
analyst.senior,157.65139585733414
analyst.lead,95.26810982823372
analyst.designer,19.763846457004547
analyst.valuable,2.0995476841926575
google,
google.gtm,72.6221045255661
google.appsflyer,44.14481991529465
google.firebase,38.3327180147171
google.amplitude,15.388144493103027
google.ga,40.143112540245056
google.яндекс,260.18806409835815
google.visual,25.669543743133545
google.appmetrica,10.274074226617813
google.метрика,103.4984880387783
google.metrica,12.661088466644287
google.сквозной,48.89817774295807
google.mixpanel,4.78643923997879
google.html,43.71165877580643
google.roistat,7.254845142364502
google.табло,2.263108789920807
субд,
субд.бд,166.88008695840836
субд.mpp,12.5907461643219
субд.rdbms,16.598084330558777
субд.teradata,61.224088191986084
субд.реляционный,117.89474487304688
субд.postgesql,5.476115942001343
субд.greenplum,59.494632720947266
субд.mssql,18.194960474967957
субд.postgresql,238.59662008285522
субд.колоночный,14.191903173923492
субд.postgres,30.829245448112488
субд.vertica,58.24715995788574
субд.pgsql,2.7868133783340454
субд.база,150.40958046913147
субд.postgre,5.010320842266083
scientist,
scientist.science,348.6569380760193
scientist.engineer,202.30744540691376
scientist.junior,50.07909345626831
scientist.middle,91.54566913843155
scientist.интеллектуальный,26.497316360473633
scientist.driven,108.44446104764938
scientist.warehouse,29.569337904453278
scientist.analyst,100.15625174343586
scientist.big,99.09617900848389
scientist.steward,2.558013081550598
scientist.ml,159.90066227316856
scientist.researcher,3.2430593967437744
scientist.playrix,6.726550042629242
scientist.трайба,1.9730368256568909
scientist.mining,123.93130257725716
инженер,
инженер.дата,61.90999150276184
инженер.специалист,340.11551454663277
инженер.аналитик,366.59530314803123
инженер.engineer,174.01466727256775
инженер.централизованный,2.3825713992118835
инженер.разработчик,127.75157321244478
инженер.руководитель,139.51463758945465
инженер.qa,62.72952175140381
инженер.корпорация,8.270755350589752
инженер.кластер,26.420266211032867
инженер.science,241.19682669639587
инженер.приведение,5.821946501731873
инженер.озеро,8.732425332069397
инженер.программист,50.25963506102562
инженер.обслуживающий,2.460387647151947
etl,
etl.vertica,57.61503505706787
etl.dwh,186.54950284957886
etl.ssis,15.623378157615662
etl.данные,841.732060238719
etl.olap,45.29668736457825
etl.пайплайн,21.71101176738739
etl.informatica,43.75349700450897
etl.airflow,97.22625356912613
etl.витрина,188.75616145133972
etl.субд,127.84091281890869
etl.elt,31.059162139892578
etl.ssa,6.792094707489014
etl.загрузка,76.19657909870148
etl.процедура,69.84940534830093
etl.teradata,46.35857272148132
машинный,
машинный.ml,234.57367420196533
машинный.предиктивный,34.66663360595703
машинный.использование,363.12987101078033
машинный.искусственный,31.017158031463623
машинный.обработка,292.99911403656006
машинный.нейросеть,7.470701336860657
машинный.nlp,46.47126466035843
машинный.зрение,60.627044320106506
машинный.промышленный,97.73107194900513
машинный.компьютерный,43.48100247979164
машинный.применение,155.63601970672607
машинный.прод,8.512620091438293
машинный.классификация,22.4301278591156
машинный.прогнозный,20.740956664085388
машинный.неизвестный,2.702224552631378
excel,
excel.outlook,6.290176510810852
excel.exсel,3.3878252506256104
excel.pivot,19.689152240753174
excel.формула,21.244131922721863
excel.word,32.27725684642792
excel.сводный,37.65615367889404
excel.макрос,11.554046988487244
excel.spss,16.604799389839172
excel.powerpoint,123.22805321216583
excel.впр,8.925993621349335
excel.vba,40.5723934173584
excel.dax,20.15542507171631
excel.vlookup,2.465936839580536
excel.powerquery,2.949717164039612
excel.powerbi,59.64010691642761
